,number,cluster
RP1-8B1.4 (ENSG00000231769),360,0.0
RP1-90J20.8 (ENSG00000224846),361,0.0
FGF1 (ENSG00000113578),362,0.0
FGD6 (ENSG00000180263),363,0.0
FGD5-AS1 (ENSG00000225733),364,0.0
RP1-92O14.3 (ENSG00000234694),365,0.0
FGD4 (ENSG00000139132),366,0.0
RP11-1017G21.5 (ENSG00000271780),367,0.0
FGD1 (ENSG00000102302),368,0.0
RP11-101E13.5 (ENSG00000272579),369,0.0
FEZF1 (ENSG00000128610),370,0.0
RP11-1079K10.4 (ENSG00000250186),371,0.0
FEV (ENSG00000163497),372,0.0
RP11-107N15.1 (ENSG00000273209),373,0.0
RP11-108K3.2 (ENSG00000259306),374,0.0
FERMT2 (ENSG00000073712),375,0.0
FERMT1 (ENSG00000101311),376,0.0
RP11-108L7.15 (ENSG00000273162),377,0.0
RP11-108M12.3 (ENSG00000258592),378,0.0
RP11-108M9.4 (ENSG00000238142),379,0.0
FEN1 (ENSG00000168496),380,0.0
FEM1C (ENSG00000145780),381,0.0
FEM1B (ENSG00000169018),382,0.0
FEM1A (ENSG00000141965),383,0.0
FECH (ENSG00000066926),384,0.0
FDXR (ENSG00000161513),385,0.0
RP1-34B20.21 (ENSG00000282988),386,0.0
GK5 (ENSG00000175066),387,0.0
FLJ13224 (ENSG00000177340),388,0.0
RNF19B (ENSG00000116514),389,0.0
RHOH (ENSG00000168421),390,0.0
FRAT2 (ENSG00000181274),391,0.0
FRAT1 (ENSG00000165879),392,0.0
FRAS1 (ENSG00000138759),393,0.0
FRA10AC1 (ENSG00000148690),394,0.0
RHOT1 (ENSG00000126858),395,0.0
RHOT2 (ENSG00000140983),396,0.0
FPGS (ENSG00000136877),397,0.0
RHOV (ENSG00000104140),398,0.0
RHOXF1-AS1 (ENSG00000258545),399,0.0
FOXRED1 (ENSG00000110074),400,0.0
RIC3 (ENSG00000166405),401,0.0
RIC8B (ENSG00000111785),402,0.0
RHOA (ENSG00000067560),403,0.0
RIF1 (ENSG00000080345),404,0.0
FOXO4 (ENSG00000184481),405,0.0
RIMKLA (ENSG00000177181),406,0.0
FOXO1 (ENSG00000150907),407,0.0
RIMKLB (ENSG00000166532),408,0.0
FOXN3-AS1 (ENSG00000258920),409,0.0
FOXN3 (ENSG00000053254),410,0.0
FOXN2 (ENSG00000170802),411,0.0
FOXM1 (ENSG00000111206),412,0.0
FOXL2 (ENSG00000183770),413,0.0
RIMS2 (ENSG00000176406),414,0.0
FOXK2 (ENSG00000141568),415,0.0
RIMS3 (ENSG00000117016),416,0.0
RIMS4 (ENSG00000101098),417,0.0
RILP (ENSG00000167705),418,0.0
FRG1 (ENSG00000109536),419,0.0
FRK (ENSG00000111816),420,0.0
RHEBL1 (ENSG00000167550),421,0.0
FTSJ1 (ENSG00000068438),422,0.0
RFESD (ENSG00000175449),423,0.0
FTL (ENSG00000087086),424,0.0
RFFL (ENSG00000092871),425,0.0
RFWD2 (ENSG00000143207),426,0.0
RFWD3 (ENSG00000168411),427,0.0
FSTL4 (ENSG00000053108),428,0.0
RFX1 (ENSG00000132005),429,0.0
FST (ENSG00000134363),430,0.0
RFX7 (ENSG00000181827),431,0.0
RFX8 (ENSG00000196460),432,0.0
RGMA (ENSG00000182175),433,0.0
RGN (ENSG00000130988),434,0.0
FSD1 (ENSG00000105255),435,0.0
RGS10 (ENSG00000148908),436,0.0
RGS17 (ENSG00000091844),437,0.0
RGS19 (ENSG00000171700),438,0.0
FRYL (ENSG00000075539),439,0.0
RGS6 (ENSG00000182732),440,0.0
RGS7BP (ENSG00000186479),441,0.0
RHBDD3 (ENSG00000100263),442,0.0
FRS2 (ENSG00000166225),443,0.0
RHBDF2 (ENSG00000129667),444,0.0
FRRS1 (ENSG00000156869),445,0.0
RHBDL1 (ENSG00000103269),446,0.0
RHBDL2 (ENSG00000158315),447,0.0
RHBDL3 (ENSG00000141314),448,0.0
FRMD5 (ENSG00000171877),449,0.0
RHEB (ENSG00000106615),450,0.0
RINL (ENSG00000187994),451,0.0
FLJ20021 (ENSG00000254531),452,0.0
RINT1 (ENSG00000135249),453,0.0
FOXI2 (ENSG00000186766),454,0.0
RND2 (ENSG00000108830),455,0.0
RNF10 (ENSG00000022840),456,0.0
RNF111 (ENSG00000157450),457,0.0
FMO4 (ENSG00000076258),458,0.0
RNF112 (ENSG00000128482),459,0.0
RNF114 (ENSG00000124226),460,0.0
FMNL2 (ENSG00000157827),461,0.0
FMNL1 (ENSG00000184922),462,0.0
RNF115 (ENSG00000265491),463,0.0
RNF121 (ENSG00000137522),464,0.0
RNF125 (ENSG00000101695),465,0.0
RNF126 (ENSG00000070423),466,0.0
FLVCR2 (ENSG00000119686),467,0.0
RND1 (ENSG00000172602),468,0.0
FLVCR1-AS1 (ENSG00000198468),469,0.0
RNF135 (ENSG00000181481),470,0.0
FLT1 (ENSG00000102755),471,0.0
RNF138 (ENSG00000134758),472,0.0
RNF141 (ENSG00000110315),473,0.0
RNF144B (ENSG00000137393),474,0.0
FLOT2 (ENSG00000132589),475,0.0
FLNB (ENSG00000136068),476,0.0
FLNA (ENSG00000196924),477,0.0
RNF166 (ENSG00000158717),478,0.0
RNF167 (ENSG00000108523),479,0.0
RNF168 (ENSG00000163961),480,0.0
RNF181 (ENSG00000168894),481,0.0
RNF183 (ENSG00000165188),482,0.0
FLVCR1 (ENSG00000162769),483,0.0
RNASEK-C17orf49 (ENSG00000161939),484,0.0
RNASEH2C (ENSG00000172922),485,0.0
FNBP1L (ENSG00000137942),486,0.0
FOXH1 (ENSG00000160973),487,0.0
RIOK2 (ENSG00000058729),488,0.0
RIPK1 (ENSG00000137275),489,0.0
FOXD3-AS1 (ENSG00000230798),490,0.0
RIPK2 (ENSG00000104312),491,0.0
RIPPLY2 (ENSG00000203877),492,0.0
RIT1 (ENSG00000143622),493,0.0
RITA1 (ENSG00000139405),494,0.0
FOXA3 (ENSG00000170608),495,0.0
RLIM (ENSG00000131263),496,0.0
RLN1 (ENSG00000107018),497,0.0
FOSL1 (ENSG00000175592),498,0.0
RLN2 (ENSG00000107014),499,0.0
RLTPR (ENSG00000159753),500,0.0
FOPNL (ENSG00000133393),501,0.0
RMDN1 (ENSG00000176623),502,0.0
RMI1 (ENSG00000178966),503,0.0
FOCAD-AS1 (ENSG00000227071),504,0.0
FOCAD (ENSG00000188352),505,0.0
RMI2 (ENSG00000175643),506,0.0
RMND5A (ENSG00000153561),507,0.0
RMND5B (ENSG00000145916),508,0.0
FNIP2 (ENSG00000052795),509,0.0
RN7SL832P (ENSG00000243819),510,0.0
RNASEH1 (ENSG00000171865),511,0.0
RNASEH1-AS1 (ENSG00000234171),512,0.0
RNASEH2A (ENSG00000104889),513,0.0
RNASEH2B (ENSG00000136104),514,0.0
FNBP4 (ENSG00000109920),515,0.0
FOXI3 (ENSG00000214336),516,0.0
GKAP1 (ENSG00000165113),517,0.0
GLA (ENSG00000102393),518,0.0
RAD1 (ENSG00000113456),519,0.0
GUCD1 (ENSG00000138867),520,0.0
GUCA1A (ENSG00000048545),521,0.0
GTSF1 (ENSG00000170627),522,0.0
GTSE1-AS1 (ENSG00000277232),523,0.0
GTPBP8 (ENSG00000163607),524,0.0
GTPBP6 (ENSG00000178605),525,0.0
GTPBP4 (ENSG00000107937),526,0.0
GTPBP3 (ENSG00000130299),527,0.0
GTPBP2 (ENSG00000172432),528,0.0
GTPBP10 (ENSG00000105793),529,0.0
GTPBP1 (ENSG00000100226),530,0.0
GTF3C6 (ENSG00000155115),531,0.0
GTF3C5 (ENSG00000148308),532,0.0
PRSS8 (ENSG00000052344),533,0.0
GTF3C4 (ENSG00000125484),534,0.0
GTF3C2 (ENSG00000115207),535,0.0
GTF3C1 (ENSG00000077235),536,0.0
GTF3A (ENSG00000122034),537,0.0
PRUNE (ENSG00000143363),538,0.0
GTF2I (ENSG00000263001),539,0.0
GTF2H5 (ENSG00000272047),540,0.0
PRUNE2 (ENSG00000106772),541,0.0
GTF2H3 (ENSG00000111358),542,0.0
GTF2H2C (ENSG00000183474),543,0.0
GTF2H2 (ENSG00000145736),544,0.0
GTF2H1 (ENSG00000110768),545,0.0
GTF2F2 (ENSG00000188342),546,0.0
PSAT1 (ENSG00000135069),547,0.0
GTF3C3 (ENSG00000119041),548,0.0
PRSS21 (ENSG00000007038),549,0.0
PRSS16 (ENSG00000112812),550,0.0
GUF1 (ENSG00000151806),551,0.0
PRPF40A (ENSG00000196504),552,0.0
PRPF4B (ENSG00000112739),553,0.0
H3F3A (ENSG00000163041),554,0.0
PRPF8 (ENSG00000174231),555,0.0
H2BFM (ENSG00000101812),556,0.0
H2AFZ (ENSG00000164032),557,0.0
PRPS1 (ENSG00000147224),558,0.0
PRR12 (ENSG00000126464),559,0.0
PRR13 (ENSG00000205352),560,0.0
H2AFV (ENSG00000105968),561,0.0
H2AFJ (ENSG00000246705),562,0.0
H1FX-AS1 (ENSG00000206417),563,0.0
PRR14L (ENSG00000183530),564,0.0
PRR19 (ENSG00000188368),565,0.0
PRR22 (ENSG00000212123),566,0.0
PRR36 (ENSG00000183248),567,0.0
PRR7-AS1 (ENSG00000246334),568,0.0
PRRC1 (ENSG00000164244),569,0.0
PRRC2A (ENSG00000204469),570,0.0
PRRC2C (ENSG00000117523),571,0.0
PRRG2 (ENSG00000126460),572,0.0
GYLTL1B (ENSG00000165905),573,0.0
GYG2 (ENSG00000056998),574,0.0
GYG1 (ENSG00000163754),575,0.0
PRRG3 (ENSG00000130032),576,0.0
GXYLT1 (ENSG00000151233),577,0.0
PRRG4 (ENSG00000135378),578,0.0
GULP1 (ENSG00000144366),579,0.0
PRRT3-AS1 (ENSG00000230082),580,0.0
GTF2E1 (ENSG00000153767),581,0.0
PRPF4 (ENSG00000136875),582,0.0
GTF2A2 (ENSG00000140307),583,0.0
PSEN2 (ENSG00000143801),584,0.0
PSMB8-AS1 (ENSG00000204261),585,0.0
PSMB9 (ENSG00000240065),586,0.0
PSMC2 (ENSG00000161057),587,0.0
GS1-124K5.4 (ENSG00000237310),588,0.0
PSMC3 (ENSG00000165916),589,0.0
PSMC3IP (ENSG00000131470),590,0.0
GRWD1 (ENSG00000105447),591,0.0
GRTP1 (ENSG00000139835),592,0.0
GRSF1 (ENSG00000132463),593,0.0
GRPEL2 (ENSG00000164284),594,0.0
GRPEL1 (ENSG00000109519),595,0.0
PSMC4 (ENSG00000013275),596,0.0
PSMC5 (ENSG00000087191),597,0.0
GS1-279B7.2 (ENSG00000273004),598,0.0
PSMC6 (ENSG00000100519),599,0.0
GRM3 (ENSG00000198822),600,0.0
GRM2 (ENSG00000164082),601,0.0
GRK6 (ENSG00000198055),602,0.0
PSMD1 (ENSG00000173692),603,0.0
GRIPAP1 (ENSG00000068400),604,0.0
PSMD11 (ENSG00000108671),605,0.0
GRIP1 (ENSG00000155974),606,0.0
PSMD12 (ENSG00000197170),607,0.0
PSMD14 (ENSG00000115233),608,0.0
PSMD2 (ENSG00000175166),609,0.0
PSMD3 (ENSG00000108344),610,0.0
GRIN2B (ENSG00000273079),611,0.0
PSMD4 (ENSG00000159352),612,0.0
GRM4 (ENSG00000124493),613,0.0
PSMB8 (ENSG00000204264),614,0.0
GS1-72M22.1 (ENSG00000272163),615,0.0
GSAP (ENSG00000186088),616,0.0
PSENEN (ENSG00000205155),617,0.0
GSTZ1 (ENSG00000100577),618,0.0
GSTT2B (ENSG00000133433),619,0.0
GSTP1 (ENSG00000084207),620,0.0
GSTO2 (ENSG00000065621),621,0.0
PSIP1 (ENSG00000164985),622,0.0
PSMA1 (ENSG00000129084),623,0.0
PSMA2 (ENSG00000106588),624,0.0
PSMA3 (ENSG00000100567),625,0.0
PSMA3-AS1 (ENSG00000257621),626,0.0
PSMA4 (ENSG00000041357),627,0.0
PSMA5 (ENSG00000143106),628,0.0
PSMA7 (ENSG00000101182),629,0.0
PSMB1 (ENSG00000008018),630,0.0
PSMB10 (ENSG00000205220),631,0.0
GSR (ENSG00000104687),632,0.0
GSPT2 (ENSG00000189369),633,0.0
GSPT1 (ENSG00000103342),634,0.0
PSMB2 (ENSG00000126067),635,0.0
GSKIP (ENSG00000100744),636,0.0
